pokemon_number,pokemon_name_ch,pokemon_name_jp,pokemon_name_en,pokemon_types,pokemon_abilitys,pokemon_status
025,皮卡丘,ピカチュウ,Pikachu,['電'],"{'普特': '靜電', '夢特': '避雷針'}","{'HP': 35, '攻擊': 55, '防禦': 40, '特攻': 50, '特防': 50, '速度': 90, '總和': 320}"
026,雷丘,ライチュウ,Raichu,['電'],"{'普特': '靜電', '夢特': '避雷針'}","{'HP': 60, '攻擊': 90, '防禦': 55, '特攻': 90, '特防': 80, '速度': 110, '總和': 485}"
027,穿山鼠,サンド,Sandshrew,['地面'],"{'普特': '沙隱', '夢特': '撥沙'}","{'HP': 50, '攻擊': 75, '防禦': 85, '特攻': 20, '特防': 30, '速度': 40, '總和': 300}"
028,穿山王,サンドパン,Sandslash,['地面'],"{'普特': '沙隱', '夢特': '撥沙'}","{'HP': 75, '攻擊': 100, '防禦': 110, '特攻': 45, '特防': 55, '速度': 65, '總和': 450}"
029,尼多蘭,ニドラン♀,Nidoran♀,['毒'],"{'普特': ['毒刺', '鬥爭心'], '夢特': '活力'}","{'HP': 55, '攻擊': 47, '防禦': 52, '特攻': 40, '特防': 40, '速度': 41, '總和': 275}"
030,尼多娜,ニドリーナ,Nidorina,['毒'],"{'普特': ['毒刺', '鬥爭心'], '夢特': '活力'}","{'HP': 70, '攻擊': 62, '防禦': 67, '特攻': 55, '特防': 55, '速度': 56, '總和': 365}"
031,尼多後,ニドクイン,Nidoqueen,"['毒', '地面']","{'普特': ['毒刺', '鬥爭心'], '夢特': '強行'}","{'HP': 90, '攻擊': 92, '防禦': 87, '特攻': 75, '特防': 85, '速度': 76, '總和': 505}"
032,尼多朗,ニドラン♂,Nidoran♂,['毒'],"{'普特': ['毒刺', '鬥爭心'], '夢特': '活力'}","{'HP': 46, '攻擊': 57, '防禦': 40, '特攻': 40, '特防': 40, '速度': 50, '總和': 273}"
033,尼多力諾,ニドリーノ,Nidorino,['毒'],"{'普特': ['毒刺', '鬥爭心'], '夢特': '活力'}","{'HP': 61, '攻擊': 72, '防禦': 57, '特攻': 55, '特防': 55, '速度': 65, '總和': 365}"
034,尼多王,ニドキング,Nidoking,"['毒', '地面']","{'普特': ['毒刺', '鬥爭心'], '夢特': '強行'}","{'HP': 81, '攻擊': 102, '防禦': 77, '特攻': 85, '特防': 75, '速度': 85, '總和': 505}"
035,皮皮,ピッピ,Clefairy,['妖精'],"{'普特': ['迷人之軀', '魔法防守'], '夢特': '友情防守'}","{'HP': 70, '攻擊': 45, '防禦': 48, '特攻': 60, '特防': 65, '速度': 35, '總和': 323}"
036,皮可西,ピクシー,Clefable,['妖精'],"{'普特': ['迷人之軀', '魔法防守'], '夢特': '純樸'}","{'HP': 95, '攻擊': 70, '防禦': 73, '特攻': 95, '特防': 90, '速度': 60, '總和': 483}"
037,六尾,ロコン,Vulpix,['火'],"{'普特': '引火', '夢特': '日照'}","{'HP': 38, '攻擊': 41, '防禦': 40, '特攻': 50, '特防': 65, '速度': 65, '總和': 299}"
038,九尾,キュウコン,Ninetales,['火'],"{'普特': '引火', '夢特': '日照'}","{'HP': 73, '攻擊': 76, '防禦': 75, '特攻': 81, '特防': 100, '速度': 100, '總和': 505}"
039,胖丁,プリン,Jigglypuff,"['一般', '妖精']","{'普特': ['迷人之軀', '好勝'], '夢特': '友情防守'}","{'HP': 115, '攻擊': 45, '防禦': 20, '特攻': 45, '特防': 25, '速度': 20, '總和': 270}"
040,胖可丁,プクリン,Wigglytuff,"['一般', '妖精']","{'普特': ['迷人之軀', '好勝'], '夢特': '察覺'}","{'HP': 140, '攻擊': 70, '防禦': 45, '特攻': 85, '特防': 50, '速度': 45, '總和': 435}"
041,超音蝠,ズバット,Zubat,"['毒', '飛行']","{'普特': '精神力', '夢特': '穿透'}","{'HP': 40, '攻擊': 45, '防禦': 35, '特攻': 30, '特防': 40, '速度': 55, '總和': 245}"
042,大嘴蝠,ゴルバット,Golbat,"['毒', '飛行']","{'普特': '精神力', '夢特': '穿透'}","{'HP': 75, '攻擊': 80, '防禦': 70, '特攻': 65, '特防': 75, '速度': 90, '總和': 455}"
043,走路草,ナゾノクサ,Oddish,"['草', '毒']","{'普特': '葉綠素', '夢特': '逃跑'}","{'HP': 45, '攻擊': 50, '防禦': 55, '特攻': 75, '特防': 65, '速度': 30, '總和': 320}"
044,臭臭花,クサイハナ,Gloom,"['草', '毒']","{'普特': '葉綠素', '夢特': '惡臭'}","{'HP': 60, '攻擊': 65, '防禦': 70, '特攻': 85, '特防': 75, '速度': 40, '總和': 395}"
045,霸王花,ラフレシア,Vileplume,"['草', '毒']","{'普特': '葉綠素', '夢特': '孢子'}","{'HP': 75, '攻擊': 80, '防禦': 85, '特攻': 110, '特防': 90, '速度': 50, '總和': 490}"
046,派拉斯,パラス,Paras,"['蟲', '草']","{'普特': ['孢子', '乾燥皮膚'], '夢特': '溼氣'}","{'HP': 35, '攻擊': 70, '防禦': 55, '特攻': 45, '特防': 55, '速度': 25, '總和': 285}"
047,派拉斯特,パラセクト,Parasect,"['蟲', '草']","{'普特': ['孢子', '乾燥皮膚'], '夢特': '溼氣'}","{'HP': 60, '攻擊': 95, '防禦': 80, '特攻': 60, '特防': 80, '速度': 30, '總和': 405}"
048,毛球,コンパン,Venonat,"['蟲', '毒']","{'普特': ['複眼', '有色眼鏡'], '夢特': '逃跑'}","{'HP': 60, '攻擊': 55, '防禦': 50, '特攻': 40, '特防': 55, '速度': 45, '總和': 305}"
049,摩魯蛾,モルフォン,Venomoth,"['蟲', '毒']","{'普特': ['鱗粉', '有色眼鏡'], '夢特': '奇蹟皮膚'}","{'HP': 70, '攻擊': 65, '防禦': 60, '特攻': 90, '特防': 75, '速度': 90, '總和': 450}"
050,地鼠,ディグダ,Diglett,['地面'],"{'普特': ['沙隱', '沙穴'], '夢特': '沙之力'}","{'HP': 10, '攻擊': 55, '防禦': 25, '特攻': 35, '特防': 45, '速度': 95, '總和': 265}"
051,三地鼠,ダグトリオ,Dugtrio,['地面'],"{'普特': ['沙隱', '沙穴'], '夢特': '沙之力'}","{'HP': 35, '攻擊': 100, '防禦': 50, '特攻': 50, '特防': 70, '速度': 120, '總和': 425}"
052,喵喵,ニャース,Meowth,['一般'],"{'普特': ['撿拾', '技術高手'], '夢特': '緊張感'}","{'HP': 40, '攻擊': 45, '防禦': 35, '特攻': 40, '特防': 40, '速度': 90, '總和': 290}"
053,貓老大,ペルシアン,Persian,['一般'],"{'普特': ['柔軟', '技術高手'], '夢特': '緊張感'}","{'HP': 65, '攻擊': 70, '防禦': 60, '特攻': 65, '特防': 65, '速度': 115, '總和': 440}"
054,可達鴨,コダック,Psyduck,['水'],"{'普特': ['溼氣', '無關天氣'], '夢特': '悠遊自如'}","{'HP': 50, '攻擊': 52, '防禦': 48, '特攻': 65, '特防': 50, '速度': 55, '總和': 320}"
055,哥達鴨,ゴルダック,Golduck,['水'],"{'普特': ['溼氣', '無關天氣'], '夢特': '悠遊自如'}","{'HP': 80, '攻擊': 82, '防禦': 78, '特攻': 95, '特防': 80, '速度': 85, '總和': 500}"
056,猴怪,マンキー,Mankey,['格鬥'],"{'普特': ['幹勁', '憤怒穴位'], '夢特': '不服輸'}","{'HP': 40, '攻擊': 80, '防禦': 35, '特攻': 35, '特防': 45, '速度': 70, '總和': 305}"
057,火暴猴,オコリザル,Primeape,['格鬥'],"{'普特': ['幹勁', '憤怒穴位'], '夢特': '不服輸'}","{'HP': 65, '攻擊': 105, '防禦': 60, '特攻': 60, '特防': 70, '速度': 95, '總和': 455}"
058,卡蒂狗,ガーディ,Growlithe,['火'],"{'普特': ['威嚇', '引火'], '夢特': '正義之心'}","{'HP': 55, '攻擊': 70, '防禦': 45, '特攻': 70, '特防': 50, '速度': 60, '總和': 350}"
059,風速狗,ウインディ,Arcanine,['火'],"{'普特': ['威嚇', '引火'], '夢特': '正義之心'}","{'HP': 90, '攻擊': 110, '防禦': 80, '特攻': 100, '特防': 80, '速度': 95, '總和': 555}"
060,蚊香蝌蚪,ニョロモ,Poliwag,['水'],"{'普特': ['儲水', '溼氣'], '夢特': '悠遊自如'}","{'HP': 40, '攻擊': 50, '防禦': 40, '特攻': 40, '特防': 40, '速度': 90, '總和': 300}"
061,蚊香君,ニョロゾ,Poliwhirl,['水'],"{'普特': ['儲水', '溼氣'], '夢特': '悠遊自如'}","{'HP': 65, '攻擊': 65, '防禦': 65, '特攻': 50, '特防': 50, '速度': 90, '總和': 385}"
062,蚊香泳士,ニョロボン,Poliwrath,"['水', '格鬥']","{'普特': ['儲水', '溼氣'], '夢特': '悠遊自如'}","{'HP': 90, '攻擊': 95, '防禦': 95, '特攻': 70, '特防': 90, '速度': 70, '總和': 510}"
063,凱西,ケーシィ,Abra,['超能力'],"{'普特': ['同步', '精神力'], '夢特': '魔法防守'}","{'HP': 25, '攻擊': 20, '防禦': 15, '特攻': 105, '特防': 55, '速度': 90, '總和': 310}"
064,勇基拉,ユンゲラー,Kadabra,['超能力'],"{'普特': ['同步', '精神力'], '夢特': '魔法防守'}","{'HP': 40, '攻擊': 35, '防禦': 30, '特攻': 120, '特防': 70, '速度': 105, '總和': 400}"
065,胡地,フーディン,Alakazam,['超能力'],"{'普特': ['同步', '精神力'], '夢特': '魔法防守'}","{'HP': 55, '攻擊': 50, '防禦': 45, '特攻': 135, '特防': 95, '速度': 120, '總和': 500}"
066,腕力,ワンリキー,Machop,['格鬥'],"{'普特': ['毅力', '無防守'], '夢特': '不屈之心'}","{'HP': 70, '攻擊': 80, '防禦': 50, '特攻': 35, '特防': 35, '速度': 35, '總和': 305}"
067,豪力,ゴーリキー,Machoke,['格鬥'],"{'普特': ['毅力', '無防守'], '夢特': '不屈之心'}","{'HP': 80, '攻擊': 100, '防禦': 70, '特攻': 50, '特防': 60, '速度': 45, '總和': 405}"
068,怪力,カイリキー,Machamp,['格鬥'],"{'普特': ['毅力', '無防守'], '夢特': '不屈之心'}","{'HP': 90, '攻擊': 130, '防禦': 80, '特攻': 65, '特防': 85, '速度': 55, '總和': 505}"
069,喇叭芽,マダツボミ,Bellsprout,"['草', '毒']","{'普特': '葉綠素', '夢特': '貪吃鬼'}","{'HP': 50, '攻擊': 75, '防禦': 35, '特攻': 70, '特防': 30, '速度': 40, '總和': 300}"
070,口呆花,ウツドン,Weepinbell,"['草', '毒']","{'普特': '葉綠素', '夢特': '貪吃鬼'}","{'HP': 65, '攻擊': 90, '防禦': 50, '特攻': 85, '特防': 45, '速度': 55, '總和': 390}"
071,大食花,ウツボット,Victreebel,"['草', '毒']","{'普特': '葉綠素', '夢特': '貪吃鬼'}","{'HP': 80, '攻擊': 105, '防禦': 65, '特攻': 100, '特防': 70, '速度': 70, '總和': 490}"
072,瑪瑙水母,メノクラゲ,Tentacool,"['水', '毒']","{'普特': ['恆淨之軀', '汙泥漿'], '夢特': '雨盤'}","{'HP': 40, '攻擊': 40, '防禦': 35, '特攻': 50, '特防': 100, '速度': 70, '總和': 335}"
073,毒刺水母,ドククラゲ,Tentacruel,"['水', '毒']","{'普特': ['恆淨之軀', '汙泥漿'], '夢特': '雨盤'}","{'HP': 80, '攻擊': 70, '防禦': 65, '特攻': 80, '特防': 120, '速度': 100, '總和': 515}"
074,小拳石,イシツブテ,Geodude,"['岩石', '地面']","{'普特': ['堅硬腦袋', '結實'], '夢特': '沙隱'}","{'HP': 40, '攻擊': 80, '防禦': 100, '特攻': 30, '特防': 30, '速度': 20, '總和': 300}"
075,隆隆石,ゴローン,Graveler,"['岩石', '地面']","{'普特': ['堅硬腦袋', '結實'], '夢特': '沙隱'}","{'HP': 55, '攻擊': 95, '防禦': 115, '特攻': 45, '特防': 45, '速度': 35, '總和': 390}"
076,隆隆巖,ゴローニャ,Golem,"['岩石', '地面']","{'普特': ['堅硬腦袋', '結實'], '夢特': '沙隱'}","{'HP': 80, '攻擊': 120, '防禦': 130, '特攻': 55, '特防': 65, '速度': 45, '總和': 495}"
077,小火馬,ポニータ,Ponyta,['火'],"{'普特': ['逃跑', '引火'], '夢特': '火焰之軀'}","{'HP': 50, '攻擊': 85, '防禦': 55, '特攻': 65, '特防': 65, '速度': 90, '總和': 410}"
078,烈焰馬,ギャロップ,Rapidash,['火'],"{'普特': ['逃跑', '引火'], '夢特': '火焰之軀'}","{'HP': 65, '攻擊': 100, '防禦': 70, '特攻': 80, '特防': 80, '速度': 105, '總和': 500}"
079,呆呆獸,ヤドン,Slowpoke,"['水', '超能力']","{'普特': ['遲鈍', '我行我素'], '夢特': '再生力'}","{'HP': 90, '攻擊': 65, '防禦': 65, '特攻': 40, '特防': 40, '速度': 15, '總和': 315}"
080,呆殼獸,ヤドラン,Slowbro,"['水', '超能力']","{'普特': ['遲鈍', '我行我素'], '夢特': '再生力'}","{'HP': 95, '攻擊': 75, '防禦': 110, '特攻': 100, '特防': 80, '速度': 30, '總和': 490}"
081,小磁怪,コイル,Magnemite,"['電', '鋼']","{'普特': ['磁力', '結實'], '夢特': '分析'}","{'HP': 25, '攻擊': 35, '防禦': 70, '特攻': 95, '特防': 55, '速度': 45, '總和': 325}"
082,三合一磁怪,レアコイル,Magneton,"['電', '鋼']","{'普特': ['磁力', '結實'], '夢特': '分析'}","{'HP': 50, '攻擊': 60, '防禦': 95, '特攻': 120, '特防': 70, '速度': 70, '總和': 465}"
083,大蔥鴨,カモネギ,Farfetch'd,"['一般', '飛行']","{'普特': ['銳利目光', '精神力'], '夢特': '不服輸'}","{'HP': 52, '攻擊': 90, '防禦': 55, '特攻': 58, '特防': 62, '速度': 60, '總和': 377}"
084,嘟嘟,ドードー,Doduo,"['一般', '飛行']","{'普特': ['逃跑', '早起'], '夢特': '蹣跚'}","{'HP': 35, '攻擊': 85, '防禦': 45, '特攻': 35, '特防': 35, '速度': 75, '總和': 310}"
085,嘟嘟利,ドードリオ,Dodrio,"['一般', '飛行']","{'普特': ['逃跑', '早起'], '夢特': '蹣跚'}","{'HP': 60, '攻擊': 110, '防禦': 70, '特攻': 60, '特防': 60, '速度': 110, '總和': 470}"
086,小海獅,パウワウ,Seel,['水'],"{'普特': ['厚脂肪', '溼潤之軀'], '夢特': '冰凍之軀'}","{'HP': 65, '攻擊': 45, '防禦': 55, '特攻': 45, '特防': 70, '速度': 45, '總和': 325}"
087,白海獅,ジュゴン,Dewgong,"['水', '冰']","{'普特': ['厚脂肪', '溼潤之軀'], '夢特': '冰凍之軀'}","{'HP': 90, '攻擊': 70, '防禦': 80, '特攻': 70, '特防': 95, '速度': 70, '總和': 475}"
088,臭泥,ベトベター,Grimer,['毒'],"{'普特': ['惡臭', '黏著'], '夢特': '毒手'}","{'HP': 80, '攻擊': 80, '防禦': 50, '特攻': 40, '特防': 50, '速度': 25, '總和': 325}"
089,臭臭泥,ベトベトン,Muk,['毒'],"{'普特': ['惡臭', '黏著'], '夢特': '毒手'}","{'HP': 105, '攻擊': 105, '防禦': 75, '特攻': 65, '特防': 100, '速度': 50, '總和': 500}"
090,大舌貝,シェルダー,Shellder,['水'],"{'普特': ['硬殼盔甲', '連續攻擊'], '夢特': '防塵'}","{'HP': 30, '攻擊': 65, '防禦': 100, '特攻': 45, '特防': 25, '速度': 40, '總和': 305}"
091,刺甲貝,パルシェン,Cloyster,"['水', '冰']","{'普特': ['硬殼盔甲', '連續攻擊'], '夢特': '防塵'}","{'HP': 50, '攻擊': 95, '防禦': 180, '特攻': 85, '特防': 45, '速度': 70, '總和': 525}"
092,鬼斯,ゴース,Gastly,"['幽靈', '毒']",{'普特': '飄浮'},"{'HP': 30, '攻擊': 35, '防禦': 30, '特攻': 100, '特防': 35, '速度': 80, '總和': 310}"
093,鬼斯通,ゴースト,Haunter,"['幽靈', '毒']",{'普特': '飄浮'},"{'HP': 45, '攻擊': 50, '防禦': 45, '特攻': 115, '特防': 55, '速度': 95, '總和': 405}"
094,耿鬼,ゲンガー,Gengar,"['幽靈', '毒']",{'普特': '詛咒之軀'},"{'HP': 60, '攻擊': 65, '防禦': 60, '特攻': 130, '特防': 75, '速度': 110, '總和': 500}"
095,大巖蛇,イワーク,Onix,"['岩石', '地面']","{'普特': ['堅硬腦袋', '結實'], '夢特': '碎裂鎧甲'}","{'HP': 35, '攻擊': 45, '防禦': 160, '特攻': 30, '特防': 45, '速度': 70, '總和': 385}"
096,催眠貘,スリープ,Drowzee,['超能力'],"{'普特': ['不眠', '預知夢'], '夢特': '精神力'}","{'HP': 60, '攻擊': 48, '防禦': 45, '特攻': 43, '特防': 90, '速度': 42, '總和': 328}"
097,引夢貘人,スリーパー,Hypno,['超能力'],"{'普特': ['不眠', '預知夢'], '夢特': '精神力'}","{'HP': 85, '攻擊': 73, '防禦': 70, '特攻': 73, '特防': 115, '速度': 67, '總和': 483}"
098,大鉗蟹,クラブ,Krabby,['水'],"{'普特': ['怪力鉗', '硬殼盔甲'], '夢特': '強行'}","{'HP': 30, '攻擊': 105, '防禦': 90, '特攻': 25, '特防': 25, '速度': 50, '總和': 325}"
099,巨鉗蟹,キングラー,Kingler,['水'],"{'普特': ['怪力鉗', '硬殼盔甲'], '夢特': '強行'}","{'HP': 55, '攻擊': 130, '防禦': 115, '特攻': 50, '特防': 50, '速度': 75, '總和': 475}"
100,霹靂電球,ビリリダマ,Voltorb,['電'],"{'普特': ['隔音', '靜電'], '夢特': '引爆'}","{'HP': 40, '攻擊': 30, '防禦': 50, '特攻': 55, '特防': 55, '速度': 100, '總和': 330}"
101,頑皮雷彈,マルマイン,Electrode,['電'],"{'普特': ['隔音', '靜電'], '夢特': '引爆'}","{'HP': 60, '攻擊': 50, '防禦': 70, '特攻': 80, '特防': 80, '速度': 150, '總和': 490}"
102,蛋蛋,タマタマ,Exeggcute,"['草', '超能力']","{'普特': '葉綠素', '夢特': '收穫'}","{'HP': 60, '攻擊': 40, '防禦': 80, '特攻': 60, '特防': 45, '速度': 40, '總和': 325}"
103,椰蛋樹,ナッシー,Exeggutor,"['草', '超能力']","{'普特': '葉綠素', '夢特': '收穫'}","{'HP': 95, '攻擊': 95, '防禦': 85, '特攻': 125, '特防': 75, '速度': 55, '總和': 530}"
104,卡拉卡拉,カラカラ,Cubone,['地面'],"{'普特': ['堅硬腦袋', '避雷針'], '夢特': '戰鬥盔甲'}","{'HP': 50, '攻擊': 50, '防禦': 95, '特攻': 40, '特防': 50, '速度': 35, '總和': 320}"
105,嘎啦嘎啦,ガラガラ,Marowak,['地面'],"{'普特': ['堅硬腦袋', '避雷針'], '夢特': '戰鬥盔甲'}","{'HP': 60, '攻擊': 80, '防禦': 110, '特攻': 50, '特防': 80, '速度': 45, '總和': 425}"
106,飛腿郎,サワムラー,Hitmonlee,['格鬥'],"{'普特': ['柔軟', '捨身'], '夢特': '輕裝'}","{'HP': 50, '攻擊': 120, '防禦': 53, '特攻': 35, '特防': 110, '速度': 87, '總和': 455}"
107,快拳郎,エビワラー,Hitmonchan,['格鬥'],"{'普特': ['銳利目光', '鐵拳'], '夢特': '精神力'}","{'HP': 50, '攻擊': 105, '防禦': 79, '特攻': 35, '特防': 110, '速度': 76, '總和': 455}"
108,大舌頭,ベロリンガ,Lickitung,['一般'],"{'普特': ['我行我素', '遲鈍'], '夢特': '無關天氣'}","{'HP': 90, '攻擊': 55, '防禦': 75, '特攻': 60, '特防': 75, '速度': 30, '總和': 385}"
109,瓦斯彈,ドガース,Koffing,['毒'],"{'普特': ['飄浮', '化學變化氣體'], '夢特': '惡臭'}","{'HP': 40, '攻擊': 65, '防禦': 95, '特攻': 60, '特防': 45, '速度': 35, '總和': 340}"
110,雙彈瓦斯,マタドガス,Weezing,['毒'],"{'普特': ['飄浮', '化學變化氣體'], '夢特': '惡臭'}","{'HP': 65, '攻擊': 90, '防禦': 120, '特攻': 85, '特防': 70, '速度': 60, '總和': 490}"
111,獨角犀牛,サイホーン,Rhyhorn,"['地面', '岩石']","{'普特': ['避雷針', '堅硬腦袋'], '夢特': '捨身'}","{'HP': 80, '攻擊': 85, '防禦': 95, '特攻': 30, '特防': 30, '速度': 25, '總和': 345}"
112,鑽角犀獸,サイドン,Rhydon,"['地面', '岩石']","{'普特': ['避雷針', '堅硬腦袋'], '夢特': '捨身'}","{'HP': 105, '攻擊': 130, '防禦': 120, '特攻': 45, '特防': 45, '速度': 40, '總和': 485}"
113,吉利蛋,ラッキー,Chansey,['一般'],"{'普特': ['自然回覆', '天恩'], '夢特': '治癒之心'}","{'HP': 250, '攻擊': 5, '防禦': 5, '特攻': 35, '特防': 105, '速度': 50, '總和': 450}"
114,蔓藤怪,モンジャラ,Tangela,['草'],"{'普特': ['葉綠素', '葉子防守'], '夢特': '再生力'}","{'HP': 65, '攻擊': 55, '防禦': 115, '特攻': 100, '特防': 40, '速度': 60, '總和': 435}"
115,袋獸,ガルーラ,Kangaskhan,['一般'],"{'普特': ['早起', '膽量'], '夢特': '精神力'}","{'HP': 105, '攻擊': 95, '防禦': 80, '特攻': 40, '特防': 80, '速度': 90, '總和': 490}"
116,墨海馬,タッツー,Horsea,['水'],"{'普特': ['悠遊自如', '狙擊手'], '夢特': '溼氣'}","{'HP': 30, '攻擊': 40, '防禦': 70, '特攻': 70, '特防': 25, '速度': 60, '總和': 295}"
117,海刺龍,シードラ,Seadra,['水'],"{'普特': ['毒刺', '狙擊手'], '夢特': '溼氣'}","{'HP': 55, '攻擊': 65, '防禦': 95, '特攻': 95, '特防': 45, '速度': 85, '總和': 440}"
118,角金魚,トサキント,Goldeen,['水'],"{'普特': ['悠遊自如', '水幕'], '夢特': '避雷針'}","{'HP': 45, '攻擊': 67, '防禦': 60, '特攻': 35, '特防': 50, '速度': 63, '總和': 320}"
119,金魚王,アズマオウ,Seaking,['水'],"{'普特': ['悠遊自如', '水幕'], '夢特': '避雷針'}","{'HP': 80, '攻擊': 92, '防禦': 65, '特攻': 65, '特防': 80, '速度': 68, '總和': 450}"
120,海星星,ヒトデマン,Staryu,['水'],"{'普特': ['發光', '自然回覆'], '夢特': '分析'}","{'HP': 30, '攻擊': 45, '防禦': 55, '特攻': 70, '特防': 55, '速度': 85, '總和': 340}"
121,寶石海星,スターミー,Starmie,"['水', '超能力']","{'普特': ['發光', '自然回覆'], '夢特': '分析'}","{'HP': 60, '攻擊': 75, '防禦': 85, '特攻': 100, '特防': 85, '速度': 115, '總和': 520}"
